unique_id,check_ids
29,constVariablePointer
33,unknownMacro
51,cstyleCast;variableScope
70,constVariablePointer;nullPointerOutOfMemory
73,constVariablePointer
80,cstyleCast;duplicateBreak
106,unknownMacro
112,unknownMacro
126,variableScope
127,unknownMacro
179,cstyleCast
200,cstyleCast
212,syntaxError
214,syntaxError
235,syntaxError
251,syntaxError
258,syntaxError
269,syntaxError
270,syntaxError
282,syntaxError
299,syntaxError
354,syntaxError
374,syntaxError
387,syntaxError
401,syntaxError
406,syntaxError
408,syntaxError
415,unknownMacro
418,syntaxError
441,syntaxError
444,syntaxError
458,syntaxError
472,dangerousTypeCast
475,dangerousTypeCast
482,constParameterPointer
506,dangerousTypeCast
512,dangerousTypeCast
518,cstyleCast;dangerousTypeCast
523,dangerousTypeCast
525,dangerousTypeCast
531,dangerousTypeCast
548,dangerousTypeCast
550,syntaxError
575,syntaxError
584,syntaxError
601,syntaxError
632,cstyleCast
644,cstyleCast;variableScope
659,syntaxError
665,syntaxError
668,syntaxError
717,variableScope
751,syntaxError
759,syntaxError
760,syntaxError
772,syntaxError
777,syntaxError
789,syntaxError
793,syntaxError
809,syntaxError
810,syntaxError
812,syntaxError
911,cstyleCast
1221,variableScope
1222,cstyleCast
1225,syntaxError
1249,variableScope
1298,variableScope
1307,cstyleCast
1334,constParameterPointer
1335,constParameterPointer
1361,constParameterPointer
1378,syntaxError
1379,syntaxError
1385,syntaxError
1393,syntaxError
1402,syntaxError
1407,syntaxError
1424,syntaxError
1447,syntaxError
1476,variableScope
1525,syntaxError
1531,syntaxError
1537,syntaxError
1545,syntaxError
1549,syntaxError
1557,syntaxError
1560,syntaxError
1562,syntaxError
1581,syntaxError
1586,syntaxError
1591,syntaxError
1607,syntaxError
1621,syntaxError
1651,syntaxError
1652,syntaxError
1663,syntaxError
1666,syntaxError
1668,syntaxError
1674,syntaxError
1681,syntaxError
1709,syntaxError
1721,syntaxError
1726,syntaxError
1788,cstyleCast;dangerousTypeCast
1826,syntaxError
1829,cstyleCast
1836,knownConditionTrueFalse
1852,cstyleCast
1884,cstyleCast;dangerousTypeCast
1885,cstyleCast
1908,constParameterPointer
1968,constParameterPointer
1981,constParameterPointer
2020,unknownMacro
2022,cstyleCast
2029,cstyleCast
2034,syntaxError
2045,syntaxError
2047,unreadVariable;variableScope
2049,syntaxError
2058,constParameterPointer
2063,cstyleCast
2070,cstyleCast
2076,variableScope
2118,cstyleCast
2171,variableScope
2202,cstyleCast;variableScope
2204,cstyleCast;variableScope
2207,cstyleCast
2247,syntaxError
2265,syntaxError
2266,syntaxError
2349,constVariablePointer;cstyleCast;variableScope
2353,constParameterPointer
2361,cstyleCast
2413,cstyleCast
2417,cstyleCast
2423,cstyleCast
2446,cstyleCast
2465,constParameterPointer
2513,syntaxError
2514,syntaxError
2519,syntaxError
2543,syntaxError
2554,syntaxError
2568,syntaxError
2603,syntaxError
2604,syntaxError
2646,syntaxError
2651,syntaxError
2652,syntaxError
2681,syntaxError
2685,syntaxError
2709,syntaxError
2715,syntaxError
2721,syntaxError
2735,syntaxError
2738,syntaxError
2739,syntaxError
2743,syntaxError
2744,syntaxError
2745,syntaxError
2767,syntaxError
2795,syntaxError
2806,syntaxError
2807,syntaxError
2815,syntaxError
2820,syntaxError
2833,syntaxError
2837,syntaxError
2839,syntaxError
2844,syntaxError
2852,syntaxError
2860,syntaxError
2862,syntaxError
2867,syntaxError
2882,syntaxError
2901,syntaxError
2920,syntaxError
2932,syntaxError
2950,syntaxError
2953,syntaxError
2960,syntaxError
2967,syntaxError
2968,syntaxError
2969,syntaxError
3019,cstyleCast
3033,variableScope
3041,cstyleCast
3048,cstyleCast
3091,cstyleCast
3119,cstyleCast
3137,dangerousTypeCast
3149,arrayIndexOutOfBoundsCond
3181,syntaxError
3183,syntaxError
3187,syntaxError
3190,syntaxError
3203,syntaxError
3207,syntaxError
3209,syntaxError
3246,syntaxError
3257,syntaxError
3261,syntaxError
3262,syntaxError
3290,syntaxError
3291,syntaxError
3334,constParameterPointer
3343,constVariablePointer
3358,syntaxError
3364,syntaxError
3365,syntaxError
3375,cstyleCast
3376,constVariablePointer;cstyleCast
3386,syntaxError
3398,syntaxError
3429,syntaxError
3433,syntaxError
3439,syntaxError
3455,syntaxError
3464,syntaxError
3474,syntaxError
3478,syntaxError
3494,syntaxError
3506,syntaxError
3510,syntaxError
3538,syntaxError
3547,syntaxError
3549,syntaxError
3552,syntaxError
3558,syntaxError
3592,cstyleCast
3713,syntaxError
3734,syntaxError
3736,syntaxError
3737,syntaxError
3740,syntaxError
3764,syntaxError
3769,syntaxError
3786,syntaxError
3789,syntaxError
3790,syntaxError
3815,syntaxError
3857,constParameterPointer;cstyleCast
3894,cstyleCast
3939,knownConditionTrueFalse;variableScope
4020,variableScope
4022,variableScope
4134,cstyleCast
4153,cstyleCast
4172,syntaxError
4175,syntaxError
4178,syntaxError
4194,syntaxError
4195,syntaxError
4212,syntaxError
4216,syntaxError
4230,syntaxError
4251,unknownMacro
4260,unknownMacro
4278,unknownMacro
4281,unknownMacro
4290,unknownMacro
4293,unknownMacro
4340,syntaxError
4360,unknownMacro
4372,unknownMacro
4400,unknownMacro
4426,variableScope
4448,variableScope
4526,cstyleCast
4557,cstyleCast
4564,cstyleCast;shadowVariable
4592,cstyleCast;shadowVariable
4602,cstyleCast
4607,cstyleCast;legacyUninitvar
4611,cstyleCast
4612,cstyleCast
4619,constStatement;variableScope
4652,unknownMacro
4670,unknownMacro
4676,cstyleCast;variableScope
4681,cstyleCast;knownConditionTrueFalse;variableScope
4711,syntaxError
4715,syntaxError
4721,syntaxError
4723,syntaxError
4730,syntaxError
4739,syntaxError
4741,syntaxError
4743,syntaxError
4744,syntaxError
4757,syntaxError
4773,syntaxError
4780,syntaxError
4818,syntaxError
4819,syntaxError
4829,syntaxError
4830,syntaxError
4831,syntaxError
4833,syntaxError
4840,syntaxError
4850,syntaxError
4855,syntaxError
4861,syntaxError
4866,syntaxError
4872,syntaxError
4882,syntaxError
4884,syntaxError
4895,syntaxError
4909,syntaxError
4916,syntaxError
4924,syntaxError
4926,syntaxError
4943,syntaxError
4944,syntaxError
4946,syntaxError
4947,syntaxError
4956,syntaxError
4957,syntaxError
4959,syntaxError
4965,unknownMacro
4970,syntaxError
4972,syntaxError
4982,syntaxError
4991,constParameterPointer
5021,variableScope
5024,constParameterPointer
5043,variableScope
5044,constStatement
5065,syntaxError
5101,cstyleCast
5102,cstyleCast;invalidPrintfArgType_uint
5161,cstyleCast
5162,cstyleCast;knownConditionTrueFalse
5166,cstyleCast
5175,unreadVariable
5181,cstyleCast
5200,cstyleCast;variableScope
5210,cstyleCast
5221,cstyleCast
5281,syntaxError
5285,syntaxError
5313,syntaxError
5324,syntaxError
5344,syntaxError
5517,dangerousTypeCast
5549,syntaxError
5551,syntaxError
5552,syntaxError
5558,syntaxError
5580,syntaxError
5588,syntaxError
5604,syntaxError
5612,cstyleCast
5621,syntaxError
5635,syntaxError
5637,syntaxError
5645,syntaxError
5653,syntaxError
5655,syntaxError
5678,unknownMacro
5754,unknownMacro
5779,constParameterPointer
5799,variableScope
5872,dangerousTypeCast
5889,constParameterPointer
5892,constVariablePointer
5960,syntaxError
5967,syntaxError
5974,syntaxError
5983,syntaxError
5996,syntaxError
6017,syntaxError
6029,syntaxError
6039,syntaxError
6053,syntaxError
6063,syntaxError
6091,syntaxError
6096,syntaxError
6097,syntaxError
6098,syntaxError
6120,cstyleCast;variableScope
6145,constVariablePointer;cstyleCast;unsignedLessThanZero;variableScope
6182,constVariablePointer;cstyleCast
6188,constVariablePointer
6275,unknownMacro
6283,unknownMacro
6315,cstyleCast
6337,unknownMacro
6352,syntaxError
6353,syntaxError
6367,syntaxError
6386,syntaxError
6439,constParameterPointer
6441,constParameterPointer
6461,cstyleCast
6476,variableScope
6493,constParameterPointer
6508,syntaxError
6509,syntaxError
6511,syntaxError
6524,syntaxError
6536,syntaxError
6547,syntaxError
6617,syntaxError
6621,syntaxError
6625,syntaxError
6626,syntaxError
6673,unknownMacro
6717,cstyleCast
6787,constParameterPointer;cstyleCast;variableScope
6793,constParameterPointer;constVariablePointer
6795,constVariablePointer
6836,syntaxError
6849,syntaxError
