unique_id,top1_similarity,topk_mean_similarity,top1_neighbor_id,top1_neighbor_label,top1_neighbor_project,own_project
78906,0.337,0.302,60721,0,linux,linux
120384,0.5669,0.5557,120366,0,Chrome,Chrome
88590,0.4393,0.2925,88587,0,pdfresurrect,pdfresurrect
49163,0.4127,0.3802,34708,0,linux,linux
108048,0.5657,0.5188,140713,0,Chrome,Chrome
106855,0.7519,0.6178,124850,0,Chrome,Chrome
86085,0.6529,0.44,182588,1,linux,linux
179721,0.876,0.5041,51594,0,linux,linux
4540,0.2973,0.2808,5007,0,openssl,php
171593,0.3898,0.2562,171562,0,Android,Android
26773,0.7534,0.5672,26667,0,linux,linux
21365,0.5445,0.4367,59314,0,linux,linux
172075,0.8422,0.3557,172076,0,Android,Android
187288,0.3027,0.2717,169485,0,Chrome,Chrome
181024,0.4423,0.4295,181028,1,tcpdump,tcpdump
126551,0.5775,0.3422,126550,0,Chrome,Chrome
32484,0.2634,0.2221,25321,0,linux,linux
19967,0.9887,0.6654,57190,0,linux,linux
187034,0.4686,0.4415,150603,0,Chrome,Chrome
178828,0.542,0.3814,50400,0,linux,linux
181777,0.5544,0.5279,64524,0,ImageMagick,ImageMagick
182416,0.1696,0.1656,78186,0,OpenSC,libgit2
154666,0.7618,0.5639,154668,0,Chrome,Chrome
183206,0.4311,0.3748,181077,1,tcpdump,tcpdump
183419,0.78,0.4556,23875,0,linux,linux
71857,0.4422,0.4232,62673,0,ImageMagick,ImageMagick
125798,0.6155,0.4528,125788,0,Chrome,Chrome
134604,0.6116,0.5873,135511,0,Chrome,Chrome
136922,0.8232,0.4929,142826,0,Chrome,Chrome
40201,0.2967,0.2687,30827,0,linux,linux
9005,0.4539,0.325,9011,0,qemu,qemu
169289,0.5321,0.393,169311,0,Chrome,Chrome
24630,0.516,0.4556,96788,0,linux,linux
49928,0.7577,0.4813,49963,0,php-src,php-src
148687,0.4022,0.3564,118636,0,Chrome,Chrome
66318,0.414,0.2981,64572,0,yara,yara
181360,0.6382,0.4629,66064,0,linux,linux
72005,0.3872,0.3529,72016,0,ImageMagick,ImageMagick
47724,0.4488,0.3235,47740,0,linux,linux
182006,0.43,0.3466,73826,0,ext-http,ext-http
163873,0.6316,0.4577,126193,0,Chrome,Chrome
134178,0.4499,0.3896,133095,0,Chrome,Chrome
179999,0.5077,0.395,14341,0,openssl,openssl
10628,0.7665,0.6955,10637,0,savannah,savannah
155664,0.8041,0.6295,155650,0,Chrome,Chrome
63286,0.8749,0.5432,63294,0,wildmidi,wildmidi
180668,0.4049,0.3436,40238,0,linux,linux
52015,0.8054,0.7778,51995,0,wireshark,wireshark
29969,0.848,0.5356,29951,1,linux,linux
183051,0.3984,0.2269,19643,0,bdwgc,bdwgc
165881,0.977,0.5558,152233,0,Chrome,Chrome
110340,0.3876,0.3012,110328,0,Chrome,Chrome
76444,0.9597,0.488,86456,0,linux,linux
179612,0.329,0.2877,39566,0,FreeRDP,FreeRDP
182060,0.597,0.3848,74443,0,kvm-guest-drivers-windows,kvm-guest-drivers-windows
1373,0.2546,0.205,1376,0,pengutronix,pengutronix
38776,0.236,0.2072,140283,0,Chrome,postgres
26953,0.9705,0.5019,70546,0,linux,linux
133548,0.5883,0.515,144611,0,Chrome,Chrome
104395,0.492,0.3478,104368,0,Chrome,Chrome
91124,0.3362,0.2796,62048,0,linux,linux
185326,0.6405,0.4088,120290,0,Chrome,Chrome
84824,0.9854,0.6051,84811,0,linux,linux
159030,0.3983,0.3077,160199,0,Chrome,Chrome
100303,0.4324,0.3866,156130,0,Chrome,Chrome
185419,0.5201,0.4357,130023,0,Chrome,Chrome
178922,0.3589,0.3036,32693,0,linux,linux
182410,0.4752,0.3705,96432,1,redis,redis
182881,0.2103,0.2022,12444,0,samba,lighttpd1.4
180123,0.4979,0.3312,180121,1,php-src,php-src
181051,0.4544,0.4267,93253,0,tcpdump,tcpdump
41532,0.4286,0.3411,65177,0,linux,linux
165575,0.4528,0.3803,136658,0,Chrome,Chrome
173859,0.4002,0.363,187820,0,Android,Android
157783,0.4647,0.4233,169269,0,Chrome,Chrome
26648,0.1984,0.183,43983,0,pacemaker,linux
178183,0.2643,0.216,101919,0,Chrome,accountsservice
22304,0.2884,0.251,31779,0,linux,linux
8467,0.348,0.2297,8480,0,gstreamer,gstreamer
38251,0.3873,0.3463,19613,0,linux,linux
8680,0.2103,0.2025,53273,0,atheme,savannah
143602,0.4346,0.2965,143630,0,Chrome,Chrome
181397,0.5983,0.3788,66775,0,linux,linux
185976,0.5257,0.4399,185982,1,Chrome,Chrome
48117,0.7446,0.5249,37252,0,linux,linux
181433,0.4795,0.371,67221,0,linux,linux
138774,0.8078,0.4431,125695,0,Chrome,Chrome
174050,0.4195,0.3727,27194,0,nspluginwrapper,Android
174242,0.3345,0.31,172546,0,Android,Android
180825,0.4958,0.4388,62044,0,linux,linux
151244,0.8059,0.5289,151240,0,Chrome,Chrome
1982,0.3799,0.3528,133260,0,Chrome,spice
102376,0.7834,0.4914,149753,0,Chrome,Chrome
53312,0.5446,0.4288,37067,0,linux,linux
39298,0.7145,0.3727,39267,0,linux,linux
183260,0.3698,0.2504,95666,0,OpenJK,ioq3
52644,0.4801,0.3634,52625,0,linux,linux
87,0.468,0.3625,44194,0,openssl,openssl
180059,0.2839,0.2256,48317,0,libtiff,libtiff
179607,0.2812,0.2656,80616,0,gpac,linux
7475,0.93,0.5244,7476,0,qemu,qemu
178070,0.2617,0.2322,1652,0,ghostscript,ghostscript
75842,0.4893,0.4624,76063,0,keepalived,keepalived
69939,0.4225,0.4035,10031,0,savannah,redis
17362,0.3123,0.1965,17349,0,savannah,savannah
185238,0.273,0.2021,157034,0,Chrome,Chrome
68119,0.9609,0.4365,87050,0,mod_auth_openidc,mod_auth_openidc
126053,0.5563,0.4806,126060,0,Chrome,Chrome
2795,0.3348,0.3044,13284,0,ghostscript,ghostscript
20974,0.3479,0.3217,38627,0,linux,linux
178755,0.3943,0.3323,70559,0,linux,linux
109013,0.5065,0.3526,143665,0,Chrome,Chrome
155891,0.2948,0.2768,149267,0,Chrome,Chrome
182627,0.5294,0.2916,86661,0,linux,linux
82741,0.9454,0.6137,82740,0,radare2,radare2
178602,0.5839,0.4348,76549,0,gnulib,savannah
89729,0.6041,0.3542,30496,0,linux,linux
89548,0.5897,0.3917,89570,0,libming,libming
99095,0.711,0.4277,112347,0,Chrome,Chrome
74458,0.6104,0.4877,74460,0,linux,linux
180577,0.5924,0.5272,180791,1,linux,linux
18612,0.9635,0.6189,82236,0,linux,net
40647,0.4773,0.3392,40657,0,linux,linux
90352,0.9308,0.6743,90374,0,linux,linux
177803,0.7804,0.4331,1447,0,netfilter,netfilter
148566,0.433,0.3708,151866,0,Chrome,Chrome
185114,0.5514,0.5208,120051,0,Chrome,Chrome
71774,0.5576,0.5239,182770,1,ImageMagick,ImageMagick
185125,0.445,0.3445,185122,1,Chrome,Chrome
79696,0.2976,0.2628,79710,0,radare2,radare2
80100,0.7925,0.6601,80101,0,gpac,gpac
178879,0.3981,0.334,178880,1,linux,linux
81788,0.1982,0.1781,81790,0,redis,redis
109073,0.7448,0.3911,160787,0,Chrome,Chrome
168751,0.4997,0.4583,163939,0,Chrome,Chrome
133704,0.6244,0.4108,159808,0,Chrome,Chrome
