unique_id,risk_score,risk_level,n_unsafe_func,n_memcpy_unchecked,n_format_string,n_unchecked_alloc,n_double_free,n_use_after_free,n_size_int_overflow,categories
73752,0,none,0,0,0,0,0,0,0,
54196,0,none,0,0,0,0,0,0,0,
169124,0,none,0,0,0,0,0,0,0,
109551,0,none,0,0,0,0,0,0,0,
78906,0,none,0,0,0,0,0,0,0,
169746,0,none,0,0,0,0,0,0,0,
145939,0,none,0,0,0,0,0,0,0,
154252,0,none,0,0,0,0,0,0,0,
38512,0,none,0,0,0,0,0,0,0,
96336,0,none,0,0,0,0,0,0,0,
123788,0,none,0,0,0,0,0,0,0,
185961,0,none,0,0,0,0,0,0,0,
158921,0,none,0,0,0,0,0,0,0,
28508,0,none,0,0,0,0,0,0,0,
83192,0,none,0,0,0,0,0,0,0,
111482,0,none,0,0,0,0,0,0,0,
35780,0,none,0,0,0,0,0,0,0,
137451,0,none,0,0,0,0,0,0,0,
145716,0,none,0,0,0,0,0,0,0,
113535,0,none,0,0,0,0,0,0,0,
163328,0,none,0,0,0,0,0,0,0,
10336,0,none,0,0,0,0,0,0,0,
99329,0,none,0,0,0,0,0,0,0,
120922,0,none,0,0,0,0,0,0,0,
146584,0,none,0,0,0,0,0,0,0,
164683,0,none,0,0,0,0,0,0,0,
146404,0,none,0,0,0,0,0,0,0,
25240,0,none,0,0,0,0,0,0,0,
157744,0,none,0,0,0,0,0,0,0,
122434,0,none,0,0,0,0,0,0,0,
111495,0,none,0,0,0,0,0,0,0,
63007,0,none,0,0,0,0,0,0,0,
104976,0,none,0,0,0,0,0,0,0,
157963,0,none,0,0,0,0,0,0,0,
119849,0,none,0,0,0,0,0,0,0,
154658,0,none,0,0,0,0,0,0,0,
150349,0,none,0,0,0,0,0,0,0,
81848,0,none,0,0,0,0,0,0,0,
27200,0,none,0,0,0,0,0,0,0,
84129,0,none,0,0,0,0,0,0,0,
58019,0,none,0,0,0,0,0,0,0,
88033,0,none,0,0,0,0,0,0,0,
64809,0,none,0,0,0,0,0,0,0,
6158,0,none,0,0,0,0,0,0,0,
127755,0,none,0,0,0,0,0,0,0,
73161,0,none,0,0,0,0,0,0,0,
1981,0,none,0,0,0,0,0,0,0,
45141,0,none,0,0,0,0,0,0,0,
4741,0,none,0,0,0,0,0,0,0,
1591,0,none,0,0,0,0,0,0,0,
147185,0,none,0,0,0,0,0,0,0,
86705,0,none,0,0,0,0,0,0,0,
46166,0,none,0,0,0,0,0,0,0,
28360,0,none,0,0,0,0,0,0,0,
85178,0,none,0,0,0,0,0,0,0,
107759,0,none,0,0,0,0,0,0,0,
75324,0,none,0,0,0,0,0,0,0,
74494,0,none,0,0,0,0,0,0,0,
126819,0,none,0,0,0,0,0,0,0,
61734,0,none,0,0,0,0,0,0,0,
41293,0,none,0,0,0,0,0,0,0,
9175,0,none,0,0,0,0,0,0,0,
43891,0,none,0,0,0,0,0,0,0,
121151,0,none,0,0,0,0,0,0,0,
177532,0,none,0,0,0,0,0,0,0,
18009,4,medium,0,0,1,0,0,0,0,format_string
178042,3,low,0,1,0,0,0,0,0,memcpy_unchecked
106273,0,none,0,0,0,0,0,0,0,
83077,0,none,0,0,0,0,0,0,0,
163614,0,none,0,0,0,0,0,0,0,
49957,0,none,0,0,0,0,0,0,0,
176065,0,none,0,0,0,0,0,0,0,
119177,0,none,0,0,0,0,0,0,0,
94694,0,none,0,0,0,0,0,0,0,
62371,0,none,0,0,0,0,0,0,0,
71547,0,none,0,0,0,0,0,0,0,
159936,0,none,0,0,0,0,0,0,0,
135596,0,none,0,0,0,0,0,0,0,
126303,0,none,0,0,0,0,0,0,0,
45165,0,none,0,0,0,0,0,0,0,
15796,0,none,0,0,0,0,0,0,0,
72037,0,none,0,0,0,0,0,0,0,
45159,0,none,0,0,0,0,0,0,0,
147939,0,none,0,0,0,0,0,0,0,
152033,0,none,0,0,0,0,0,0,0,
13686,0,none,0,0,0,0,0,0,0,
30596,0,none,0,0,0,0,0,0,0,
30653,0,none,0,0,0,0,0,0,0,
105762,0,none,0,0,0,0,0,0,0,
89422,0,none,0,0,0,0,0,0,0,
98687,0,none,0,0,0,0,0,0,0,
42350,0,none,0,0,0,0,0,0,0,
131791,0,none,0,0,0,0,0,0,0,
123470,0,none,0,0,0,0,0,0,0,
99991,0,none,0,0,0,0,0,0,0,
104283,0,none,0,0,0,0,0,0,0,
147147,0,none,0,0,0,0,0,0,0,
141449,0,none,0,0,0,0,0,0,0,
200,0,none,0,0,0,0,0,0,0,
183429,0,none,0,0,0,0,0,0,0,
8052,0,none,0,0,0,0,0,0,0,
149182,0,none,0,0,0,0,0,0,0,
61530,0,none,0,0,0,0,0,0,0,
179598,0,none,0,0,0,0,0,0,0,
98708,0,none,0,0,0,0,0,0,0,
145106,0,none,0,0,0,0,0,0,0,
19217,0,none,0,0,0,0,0,0,0,
131840,0,none,0,0,0,0,0,0,0,
183848,0,none,0,0,0,0,0,0,0,
95501,0,none,0,0,0,0,0,0,0,
55021,0,none,0,0,0,0,0,0,0,
90832,0,none,0,0,0,0,0,0,0,
17978,0,none,0,0,0,0,0,0,0,
175094,0,none,0,0,0,0,0,0,0,
11427,0,none,0,0,0,0,0,0,0,
65295,0,none,0,0,0,0,0,0,0,
139445,0,none,0,0,0,0,0,0,0,
27479,0,none,0,0,0,0,0,0,0,
117440,0,none,0,0,0,0,0,0,0,
161491,0,none,0,0,0,0,0,0,0,
180915,0,none,0,0,0,0,0,0,0,
120384,0,none,0,0,0,0,0,0,0,
168086,0,none,0,0,0,0,0,0,0,
152976,0,none,0,0,0,0,0,0,0,
40966,0,none,0,0,0,0,0,0,0,
7613,0,none,0,0,0,0,0,0,0,
169485,0,none,0,0,0,0,0,0,0,
109569,0,none,0,0,0,0,0,0,0,
20660,0,none,0,0,0,0,0,0,0,
180750,0,none,0,0,0,0,0,0,0,
178176,0,none,0,0,0,0,0,0,0,
