variant,precision,recall,f1,fpr,tp,fp,fn,tn
голая LLM,0.538,0.14,0.222,0.06,7,6,43,94
cert_only (ступень 1),0.656,0.42,0.512,0.11,21,11,29,89
каскад k>=3/5 (стадия 2),0.676,0.5,0.575,0.12,25,12,25,88
court_base,0.6667,0.04,0.0755,0.01,2,1,48,99
court_no_defense,1.0,0.04,0.0769,0.0,2,0,48,100
court_vote_k1of5,0.6,0.06,0.1091,0.02,3,2,47,98
court_vote_k2of5,0.75,0.06,0.1111,0.01,3,1,47,99
court_vote_k3of5,0.6667,0.04,0.0755,0.01,2,1,48,99
court_vote_k4of5,1.0,0.04,0.0769,0.0,2,0,48,100
court_on_uncertain_base,0.6562,0.42,0.5122,0.11,21,11,29,89
court_on_uncertain_vote_k1of5,0.6364,0.42,0.506,0.12,21,12,29,88
court_on_uncertain_vote_k2of5,0.6562,0.42,0.5122,0.11,21,11,29,89
court_on_uncertain_vote_k3of5,0.6562,0.42,0.5122,0.11,21,11,29,89
court_on_uncertain_vote_k4of5,0.6562,0.42,0.5122,0.11,21,11,29,89
