file,n,p_v3,r_v3,f1_v3,fpr_v3,p_v4,r_v4,f1_v4,fpr_v4,delta_f1
case3_combo_cascade_union_k1of5.json,150,0.5185,0.56,0.5385,0.26,0.5,0.587,0.54,0.2596,0.0015
case3_combo_cascade_union_k2of5.json,150,0.5714,0.48,0.5217,0.18,0.5476,0.5,0.5227,0.1827,0.001
case3_combo_cascade_union_k3of5.json,150,0.6333,0.38,0.475,0.11,0.6,0.3913,0.4737,0.1154,-0.0013
case3_combo_cascade_union_k4of5.json,150,0.6154,0.32,0.4211,0.1,0.6154,0.3478,0.4444,0.0962,0.0233
case3_combo_intersection.json,150,0.5833,0.28,0.3784,0.1,0.5833,0.3043,0.4,0.0962,0.0216
case3_combo_union.json,150,0.5641,0.44,0.4944,0.17,0.5641,0.4783,0.5176,0.1635,0.0232
case3_court_base.json,150,0.6667,0.04,0.0755,0.01,0.6667,0.0435,0.0816,0.0096,0.0061
case3_court_no_defense.json,150,1.0,0.04,0.0769,0.0,1.0,0.0435,0.0833,0.0,0.0064
case3_court_on_uncertain_base.json,150,0.6562,0.42,0.5122,0.11,0.6562,0.4565,0.5385,0.1058,0.0263
case3_court_on_uncertain_vote_k1of5.json,150,0.6364,0.42,0.506,0.12,0.6364,0.4565,0.5316,0.1154,0.0256
case3_court_on_uncertain_vote_k2of5.json,150,0.6562,0.42,0.5122,0.11,0.6562,0.4565,0.5385,0.1058,0.0263
case3_court_on_uncertain_vote_k3of5.json,150,0.6562,0.42,0.5122,0.11,0.6562,0.4565,0.5385,0.1058,0.0263
case3_court_on_uncertain_vote_k4of5.json,150,0.6562,0.42,0.5122,0.11,0.6562,0.4565,0.5385,0.1058,0.0263
case3_court_vote_k1of5.json,150,0.6,0.06,0.1091,0.02,0.6,0.0652,0.1176,0.0192,0.0085
case3_court_vote_k2of5.json,150,0.75,0.06,0.1111,0.01,0.75,0.0652,0.12,0.0096,0.0089
case3_court_vote_k3of5.json,150,0.6667,0.04,0.0755,0.01,0.6667,0.0435,0.0816,0.0096,0.0061
case3_court_vote_k4of5.json,150,1.0,0.04,0.0769,0.0,1.0,0.0435,0.0833,0.0,0.0064
case3_critic_all.json,150,0.5,0.18,0.2647,0.09,0.5,0.1957,0.2812,0.0865,0.0165
case3_critic_blind.json,150,0.5625,0.18,0.2727,0.07,0.5625,0.1957,0.2903,0.0673,0.0176
case3_critic_on_uncertain.json,150,0.5897,0.46,0.5169,0.16,0.5897,0.5,0.5412,0.1538,0.0243
case3_critic_vote_k1of5.json,150,0.4286,0.48,0.4528,0.32,0.3929,0.4783,0.4314,0.3269,-0.0214
case3_critic_vote_k2of5.json,150,0.5161,0.32,0.3951,0.15,0.4839,0.3261,0.3896,0.1538,-0.0055
case3_critic_vote_k3of5.json,150,0.5833,0.14,0.2258,0.05,0.5833,0.1522,0.2414,0.0481,0.0156
case3_critic_vote_k4of5.json,150,0.6667,0.12,0.2034,0.03,0.6667,0.1304,0.2182,0.0288,0.0148
case3_deepseek-chat.json,150,0.5385,0.14,0.2222,0.06,0.5385,0.1522,0.2373,0.0577,0.0151
case3_deepseek-chat_cascade_A.json,150,0.575,0.46,0.5111,0.17,0.575,0.5,0.5349,0.1635,0.0238
case3_deepseek-chat_cascade_B_k1of5.json,150,0.5185,0.56,0.5385,0.26,0.5,0.587,0.54,0.2596,0.0015
case3_deepseek-chat_cascade_B_k2of5.json,150,0.587,0.54,0.5625,0.19,0.5652,0.5652,0.5652,0.1923,0.0027
case3_deepseek-chat_cascade_B_k3of5.json,150,0.6757,0.5,0.5747,0.12,0.6486,0.5217,0.5783,0.125,0.0036
case3_deepseek-chat_cascade_B_k4of5.json,150,0.6667,0.44,0.5301,0.11,0.6667,0.4783,0.557,0.1058,0.0269
case3_deepseek-chat_cert_only.json,150,0.6562,0.42,0.5122,0.11,0.6562,0.4565,0.5385,0.1058,0.0263
case3_deepseek-chat_configA.json,150,0.5,0.26,0.3421,0.13,0.5,0.2826,0.3611,0.125,0.019
case3_deepseek-chat_cwe_cert.json,150,0.5417,0.26,0.3514,0.11,0.5417,0.2826,0.3714,0.1058,0.02
case3_deepseek-chat_cwe_only.json,150,0.6,0.36,0.45,0.12,0.5667,0.3696,0.4474,0.125,-0.0026
case3_deepseek-chat_sensitive.json,150,0.4839,0.3,0.3704,0.16,0.4839,0.3261,0.3896,0.1538,0.0192
case3_ensemble_any_signal.json,150,0.352,0.88,0.5029,0.81,0.328,0.8913,0.4795,0.8077,-0.0234
case3_ensemble_intersection.json,150,0.7143,0.1,0.1754,0.02,0.7143,0.1087,0.1887,0.0192,0.0133
case3_ensemble_union.json,150,0.5,0.46,0.4792,0.23,0.5,0.5,0.5,0.2212,0.0208
