unique_id,recovered_label,match_source,cwe_id,source_project
73752,0,bigvul_only,,illumos-gate
54196,0,both_agree,,linux
169124,0,bigvul_only,,Chrome
109551,,unmatched,,
78906,0,both_agree,,linux
169746,0,bigvul_only,,Chrome
145939,0,bigvul_only,,Chrome
154252,0,bigvul_only,,Chrome
38512,0,both_agree,,linux
96336,0,both_agree,,kvm-guest-drivers-windows
123788,0,bigvul_only,,Chrome
185961,1,bigvul_only,CWE-94,Chrome
158921,0,bigvul_only,,Chrome
28508,0,both_agree,,linux
83192,0,both_agree,,mruby
111482,0,bigvul_only,,Chrome
35780,0,both_agree,,linux
137451,0,bigvul_only,,Chrome
145716,0,bigvul_only,,Chrome
113535,0,bigvul_only,,Chrome
163328,,unmatched,,
10336,0,bigvul_only,,savannah
99329,0,bigvul_only,,Chrome
120922,0,bigvul_only,,Chrome
146584,0,bigvul_only,,Chrome
164683,0,bigvul_only,,Chrome
146404,0,bigvul_only,,Chrome
25240,,unmatched,,
157744,,unmatched,,
122434,0,bigvul_only,,Chrome
111495,0,bigvul_only,,Chrome
63007,0,diversevul_only,,linux
104976,0,bigvul_only,,Chrome
157963,0,bigvul_only,,Chrome
119849,0,bigvul_only,,Chrome
154658,,unmatched,,
150349,0,bigvul_only,,Chrome
81848,0,both_agree,,wolfssl
27200,0,both_agree,,nspluginwrapper
84129,0,diversevul_only,,linux
58019,0,both_agree,,linux
88033,0,both_agree,,linux
64809,0,both_agree,,linux
6158,0,both_agree,,openssl
127755,0,bigvul_only,,Chrome
73161,0,both_agree,,tor
1981,0,bigvul_only,,spice
45141,0,both_agree,,httpd
4741,0,bigvul_only,,accountsservice
1591,0,both_agree,,savannah
147185,0,bigvul_only,,Chrome
86705,0,both_agree,,linux
46166,0,both_agree,,linux
28360,0,both_agree,,linux
85178,0,both_agree,,linux
107759,0,bigvul_only,,Chrome
75324,0,bigvul_only,,stb
74494,0,both_agree,,linux
126819,,unmatched,,
61734,0,both_agree,,linux
41293,0,both_agree,,linux
9175,0,bigvul_only,,qemu
43891,0,diversevul_only,,libarchive
121151,,unmatched,,
177532,,unmatched,,
18009,0,bigvul_only,,ghostscript
178042,1,bigvul_only,CWE-264,php
106273,0,bigvul_only,,Chrome
83077,0,both_agree,,libgit2
163614,0,diversevul_only,,libxml2
49957,0,bigvul_only,,php-src
176065,0,bigvul_only,,Android
119177,0,bigvul_only,,Chrome
94694,0,both_agree,,openssl
62371,0,diversevul_only,,tcpdump
71547,0,bigvul_only,,ImageMagick
159936,0,bigvul_only,,Chrome
135596,,unmatched,,
126303,0,bigvul_only,,Chrome
45165,0,both_agree,,openssl
15796,0,both_agree,,openssl
72037,0,both_agree,,linux
45159,0,diversevul_only,,httpd
147939,0,bigvul_only,,Chrome
152033,0,bigvul_only,,Chrome
13686,0,bigvul_only,,openssl
30596,0,both_agree,,linux
30653,0,both_agree,,linux
105762,,unmatched,,
89422,0,both_agree,,irssi
98687,0,bigvul_only,,Chrome
42350,0,both_agree,,linux
131791,,unmatched,,
123470,0,bigvul_only,,Chrome
99991,0,bigvul_only,,Chrome
104283,0,bigvul_only,,Chrome
147147,0,bigvul_only,,Chrome
141449,0,bigvul_only,,Chrome
200,0,primevul_corrected,CWE-189,php
183429,1,bigvul_only,,Chrome
8052,0,both_agree,,qemu
149182,0,bigvul_only,,Chrome
61530,0,bigvul_only,,ImageMagick
179598,1,both_agree,CWE-189,php-src
98708,0,bigvul_only,,Chrome
145106,0,primevul_corrected,CWE-310,Chrome
19217,0,both_agree,,linux
131840,0,bigvul_only,,Chrome
183848,1,bigvul_only,CWE-20,Chrome
95501,0,bigvul_only,,OpenJK
55021,0,both_agree,,git
90832,0,both_agree,,gpac
17978,0,bigvul_only,,mindrot
175094,0,bigvul_only,,Android
11427,0,bigvul_only,,xserver
65295,0,both_agree,,linux
139445,0,bigvul_only,,Chrome
27479,0,both_agree,,linux
117440,0,bigvul_only,,Chrome
161491,0,bigvul_only,,Chrome
180915,1,both_agree,CWE-200,linux
120384,0,bigvul_only,,Chrome
168086,,unmatched,,
152976,0,bigvul_only,,Chrome
40966,0,both_agree,,json-c
7613,0,both_agree,,qemu
169485,0,bigvul_only,,Chrome
109569,0,bigvul_only,,Chrome
20660,0,both_agree,,linux
180750,1,diversevul_only,,linux
178176,1,bigvul_only,CWE-189,savannah
64602,0,bigvul_only,,ntp
139028,0,bigvul_only,,Chrome
113319,0,bigvul_only,,Chrome
112086,0,bigvul_only,,Chrome
73383,0,bigvul_only,,ImageMagick
2202,0,primevul_corrected,CWE-125,poppler
14533,0,both_agree,,qemu
45276,0,both_agree,,linux
37947,0,both_agree,,linux
53653,0,both_agree,,linux
55846,0,both_agree,,linux
182834,1,both_agree,CWE-200,pam-u2f
111307,0,bigvul_only,,Chrome
106665,0,bigvul_only,,Chrome
104242,0,bigvul_only,,Chrome
60145,0,bigvul_only,,radare2
160408,,unmatched,,
88590,0,both_agree,,pdfresurrect
119789,,unmatched,,
75959,0,both_agree,,keepalived
44056,0,bigvul_only,,pacemaker
120749,0,bigvul_only,,Chrome
182307,1,both_agree,CWE-77,neomutt
659,0,bigvul_only,,savannah
56595,0,diversevul_only,,linux
73576,0,both_agree,,ImageMagick
70527,0,both_agree,,linux
121399,0,bigvul_only,,Chrome
31221,0,diversevul_only,,linux
58741,0,primevul_corrected,,linux
33056,0,both_agree,,linux
109600,0,bigvul_only,,Chrome
40686,0,both_agree,,linux
86822,0,both_agree,,libmspack
40262,0,both_agree,,linux
4744,0,bigvul_only,,accountsservice
185247,,unmatched,,
37728,0,both_agree,,linux
129654,0,bigvul_only,,Chrome
26781,,unmatched,,
135548,0,bigvul_only,,Chrome
22411,0,both_agree,,linux
180229,conflict,internal_conflict,CWE-190,php-src
140502,0,bigvul_only,,Chrome
128681,0,bigvul_only,,Chrome
75374,0,diversevul_only,,radare2
73421,0,both_agree,,openssl
153647,0,bigvul_only,,Chrome
115909,0,primevul_corrected,CWE-399,Chrome
118430,0,bigvul_only,,Chrome
183705,1,bigvul_only,CWE-399,Chrome
49163,0,both_agree,,linux
99014,0,primevul_corrected,,Chrome
113275,0,bigvul_only,,Chrome
152898,0,bigvul_only,,Chrome
95273,0,bigvul_only,,cyrus-imapd
134499,0,bigvul_only,,Chrome
154714,0,bigvul_only,,Chrome
119189,0,bigvul_only,,Chrome
24356,0,bigvul_only,,linux
182073,1,bigvul_only,CWE-20,ImageMagick
140576,0,bigvul_only,,Chrome
126463,0,bigvul_only,,Chrome
4448,0,bigvul_only,,php
123870,0,bigvul_only,,Chrome
37391,0,bigvul_only,,linux
17931,0,diversevul_only,,php-src
135862,0,bigvul_only,,Chrome
175730,conflict,internal_conflict,CWE-119,Android
89893,0,both_agree,,miniupnp
118299,,unmatched,,
100539,0,bigvul_only,,Chrome
178003,1,bigvul_only,CWE-20,htcondor
107453,0,bigvul_only,,Chrome
99613,0,primevul_corrected,,Chrome
187683,,unmatched,,
140604,0,bigvul_only,,Chrome
114652,0,bigvul_only,,Chrome
114081,0,bigvul_only,,Chrome
32960,0,both_agree,,linux
7432,0,both_agree,,php
8992,0,both_agree,,qemu
106498,0,bigvul_only,,Chrome
37781,0,both_agree,,linux
35972,0,both_agree,,linux
180175,1,both_agree,CWE-190,libarchive
43416,0,primevul_corrected,,FFmpeg
45971,0,both_agree,,file
88988,0,both_agree,,ImageMagick
55537,0,both_agree,,linux
135943,0,primevul_corrected,,Chrome
65532,0,bigvul_only,,linux
83264,0,both_agree,,linux
165978,0,bigvul_only,,Chrome
165514,0,bigvul_only,,Chrome
74349,0,bigvul_only,,kvm-guest-drivers-windows
78065,0,both_agree,,Little-CMS
21842,0,both_agree,,linux
99412,0,bigvul_only,,Chrome
36445,1,diversevul_only,CWE-189,linux
18722,0,both_agree,,linux
101718,0,bigvul_only,,Chrome
181611,1,both_agree,CWE-476,linux
132728,0,bigvul_only,,Chrome
166462,0,bigvul_only,,Chrome
4611,0,both_agree,,php
143479,0,bigvul_only,,Chrome
18627,1,diversevul_only,CWE-20,linux
145921,0,bigvul_only,,Chrome
88491,0,bigvul_only,,memcached
59330,0,both_agree,,linux
10657,0,bigvul_only,,savannah
84460,0,both_agree,,w3m
164039,0,bigvul_only,,Chrome
5181,0,primevul_corrected,,php
531,0,bigvul_only,,ghostscript
104629,0,bigvul_only,,Chrome
175840,0,bigvul_only,,Android
66218,0,both_agree,,libetpan
186706,,unmatched,,
52955,0,both_agree,,linux
101040,0,bigvul_only,,Chrome
174214,0,bigvul_only,,Android
68409,0,both_agree,,linux
16711,0,bigvul_only,,ghostscript
154079,0,bigvul_only,,Chrome
57950,0,both_agree,,linux
96894,0,both_agree,,linux
24094,0,both_agree,,linux
170017,0,bigvul_only,,Chrome
82131,0,both_agree,,mruby
62383,0,both_agree,,tcpdump
39278,0,both_agree,,linux
136775,0,bigvul_only,,Chrome
176139,0,bigvul_only,,Android
53804,0,bigvul_only,,linux
96986,0,bigvul_only,,linux
512,0,bigvul_only,,ghostscript
131430,0,bigvul_only,,Chrome
167385,0,bigvul_only,,Chrome
25922,0,both_agree,,linux
65451,0,bigvul_only,,linux
53491,conflict,both_disagree,,libarchive
89251,0,diversevul_only,,oniguruma
116324,,unmatched,,
65685,0,bigvul_only,,linux
91240,0,both_agree,,linux
182573,1,both_agree,CWE-119,linux
46973,0,bigvul_only,,linux
48717,0,bigvul_only,,httpd
44605,0,both_agree,,lxc
100024,0,bigvul_only,,Chrome
158346,0,bigvul_only,,Chrome
33890,0,both_agree,,pacemaker
16042,0,bigvul_only,,exempi
133572,0,bigvul_only,,Chrome
183180,1,diversevul_only,,linux
29911,0,both_agree,,linux
169532,0,bigvul_only,,Chrome
126646,,unmatched,,
184660,,unmatched,,
52810,0,both_agree,,linux
13702,0,bigvul_only,,openssl
128746,,unmatched,,
165764,0,bigvul_only,,Chrome
129137,0,bigvul_only,,Chrome
114177,,unmatched,,
149059,0,bigvul_only,,Chrome
141087,0,bigvul_only,,Chrome
45998,0,both_agree,,libsndfile
38197,0,diversevul_only,,linux
28214,0,bigvul_only,,FFmpeg
67391,0,both_agree,,linux
84944,0,both_agree,,linux
125789,0,primevul_corrected,,Chrome
160548,0,bigvul_only,,Chrome
183146,1,both_agree,CWE-19,linux
74785,0,both_agree,,linux
117712,0,bigvul_only,,Chrome
127500,0,bigvul_only,,Chrome
188373,0,diversevul_only,CWE-119,Android
48478,0,both_agree,,linux
140499,0,bigvul_only,,Chrome
65631,0,bigvul_only,,linux
103792,0,bigvul_only,,Chrome
113537,0,bigvul_only,,Chrome
30628,0,both_agree,,linux
5878,0,both_agree,,qemu
35999,0,both_agree,,linux
55502,0,both_agree,,linux
106931,0,bigvul_only,,Chrome
57282,0,diversevul_only,,krb5
14427,0,bigvul_only,,mindrot
62094,0,both_agree,,ImageMagick
104952,0,bigvul_only,,Chrome
129659,0,bigvul_only,,Chrome
116576,0,bigvul_only,,Chrome
170481,0,bigvul_only,,Android
23037,0,both_agree,,linux
4972,0,bigvul_only,,gstreamer
41810,0,both_agree,,linux
66545,0,both_agree,,linux
94753,conflict,internal_conflict,CWE-476,ImageMagick
162012,0,bigvul_only,,Chrome
11923,0,both_agree,,openssl
47405,0,bigvul_only,,linux
13489,0,both_agree,,ghostscript
109715,0,bigvul_only,,Chrome
3043,0,both_agree,,ghostscript
80870,0,both_agree,,gpac
83465,0,bigvul_only,,openbsd
116616,0,bigvul_only,,Chrome
107423,0,bigvul_only,,Chrome
18712,0,both_agree,,linux
57627,0,both_agree,,linux
18216,0,both_agree,,irssi-proxy
72089,0,both_agree,,slurm
105007,,unmatched,,
103718,0,bigvul_only,,Chrome
184962,,unmatched,,
108048,0,bigvul_only,,Chrome
186311,1,bigvul_only,CWE-200,Chrome
113615,0,bigvul_only,,Chrome
38673,0,both_agree,,linux
164882,0,bigvul_only,,Chrome
63341,0,both_agree,,krb5
128774,0,bigvul_only,,Chrome
79205,0,both_agree,,suricata
32325,0,both_agree,,linux
11115,0,bigvul_only,,php
143793,0,bigvul_only,,Chrome
62801,0,both_agree,,linux
165175,0,bigvul_only,,Chrome
32226,0,both_agree,,linux
171423,,unmatched,,
58574,0,both_agree,,FreeRDP
182086,1,both_agree,CWE-59,rawstudio
106855,0,bigvul_only,,Chrome
141165,0,bigvul_only,,Chrome
98870,0,bigvul_only,,Chrome
14326,0,both_agree,,qemu
157766,0,bigvul_only,,Chrome
37372,0,both_agree,,linux
65010,0,bigvul_only,,imageworsener
65082,0,bigvul_only,,ImageMagick
113855,0,bigvul_only,,Chrome
172522,0,bigvul_only,,Android
183893,1,bigvul_only,CWE-264,Chrome
65379,0,both_agree,,linux
77713,0,both_agree,,ovs
7006,0,bigvul_only,,savannah
90717,0,both_agree,,mujs
72633,0,both_agree,,linux
170551,0,bigvul_only,,Android
168608,0,bigvul_only,,Chrome
17723,0,bigvul_only,,xserver
86085,0,both_agree,,linux
81356,0,both_agree,,linux
31265,0,both_agree,,linux
180246,conflict,internal_conflict,CWE-190,php-src
80974,0,both_agree,,linux
158217,0,bigvul_only,,Chrome
4153,0,bigvul_only,,poppler
111664,0,bigvul_only,,Chrome
1709,0,both_agree,,ghostscript
123940,0,bigvul_only,,Chrome
15743,0,both_agree,,qemu
179721,1,both_agree,CWE-399,linux
17692,0,bigvul_only,,xserver
24121,0,both_agree,,linux
145145,0,bigvul_only,,Chrome
164555,0,bigvul_only,,Chrome
